user_id,pharmacy_name,owner_name,phone,email,state,city,registration_date,account_status,pharmacy_licence_number
1,Adeyemi Medstore,Joshua Adeyemi,07395034253,joshuaadeyemi@yahoo.com,Rivers,Port Harcourt,4/26/2023,Active,
2,Ekwueme Medicare,Gloria Ekwueme,08413976834,gloriaekwueme@gmail.com,Rivers,Eleme,12/12/2022,Pending,PCN/26016/2022
3,Adeyemi Drugstore,Samuel Adeyemi,08012975012,samueladeyemi@gmail.com,Anambra,Ekwulobia,3/27/2023,Pending,PCN/51969/2021
4,Oyekan Pharmacy,Samuel Oyekan,08022978584,samueloyekan@yahoo.com,Lagos,Ikeja,4/24/2024,Active,PCN/32828/2020
5,Eze Medplus,Mary Eze,08232908115,maryeze@gmail.com,Enugu,Nsukka,7/19/2022,Pending,PCN/49904/2021
6,Balogun Pharmaceuticals,Juliet Balogun,08418586591,,Abuja,Wuse,1/11/2023,Active,PCN/34428/2018
7,Nnamani Pharmacare,Victoria Nnamani,08099344311,victoriannamani@hotmail.com,Lagos,Ikeja,7/22/2023,Active,PCN/36856/2019
8,Akinwale Pharmacy,Elizabeth Akinwale,07455450972,elizabethakinwale@hotmail.com,Anambra,Awka,10/3/2022,Inactive,PCN/55914/2019
9,Oshodi Healthcare,Mark Oshodi,07282656383,markoshodi@hotmail.com,Anambra,Onitsha,10/5/2024,Active,PCN/79354/2023
10,Adetokunbo Pharmaceuticals,Philip Adetokunbo,08028481533,philipadetokunbo@gmail.com,Kano,Tarauni,7/14/2024,Suspended,PCN/71378/2024
11,Ekwueme Pharmacare,Deborah Ekwueme,08297660168,deborahekwueme@gmail.com,Anambra,Onitsha,10/26/2023,Active,PCN/12063/2019
12,Adetokunbo Pharmacare,Joshua Adetokunbo,07864501668,joshuaadetokunbo@gmail.com,Lagos,Lekki,10/24/2024,Active,PCN/57318/2024
13,Nnamani Medstore,Esther Nnamani,07078505433,esthernnamani@yahoo.com,Abuja,Kubwa,9/23/2022,Suspended,PCN/51931/2019
14,Eze Pharmaceuticals,Joseph Eze,07648317616,josepheze@yahoo.com,Oyo,Iseyin,11/28/2023,Active,
15,Okafor Pharmaceuticals,Cornelius Okafor,07869555321,cornelius.okafor@yahoo.com,Lagos,Ajah,3/3/2023,Active,PCN/21037/2021
16,Okonkwo Pharmaceuticals,Elizabeth Okonkwo,07354144020,elizabethokonkwo@gmail.com,Delta,Warri,2/14/2023,Active,PCN/40966/2019
17,Uche Chemist,Agnes Uche,07078166851,agnesuche@yahoo.com,Kaduna,Kaduna,4/14/2022,Pending,
18,Ibrahim Healthcare,Gabriel Ibrahim,07162109699,gabrielibrahim@hotmail.com,Ogun,Abeokuta,1/25/2023,Active,PCN/72209/2024
19,Ogunleye Pharmacy,Faith Ogunleye,09078380855,faithogunleye@hotmail.com,Abuja,Gwarinpa,5/27/2022,Active,PCN/92674/2023
20,Nnamani Pharmacy,Victoria Nnamani,08625995627,victoriannamani@gmail.com,Kano,Gwale,3/2/2022,Active,PCN/96198/2022
